# rag-service RAG-MEM-DURABILITY-BAR v2 window — cleaned sample series
# container_id=66656926d503a722aaf223408806a7f0b5fd9fb97e928b5197dd9759365ccaa8
# image=sha256:26e681b0ca3a83c87f7eda787c963d0b7ee18094d805cfbc1862a5db18b3fe8c
# started_at=2026-08-14T20:15:29.147681344Z  restart_count=0  mem_limit_bytes=1073741824
# source=/tmp/rag-durability-measurement/memory-samples.csv (ephemeral; 2391 raw lines, 799 well-formed)
# cleaning=kept only lines matching ^ISO8601,<float>,running$ — raw file corrupted by 3 concurrent samplers writing 2 schemas
# persisted_by=po 2026-08-15T09:5xZ  timestamps strictly monotonic, 0 backward steps
timestamp,used_percent,container_status
2026-08-14T22:37:12Z,3.85,running
2026-08-14T22:38:14Z,3.85,running
2026-08-14T22:39:15Z,3.85,running
2026-08-14T22:40:17Z,3.85,running
2026-08-14T22:41:18Z,3.85,running
2026-08-14T22:42:19Z,3.85,running
2026-08-14T22:43:21Z,3.85,running
2026-08-14T22:44:22Z,3.85,running
2026-08-14T22:45:24Z,3.85,running
2026-08-14T22:46:25Z,3.85,running
2026-08-14T22:47:26Z,3.85,running
2026-08-14T22:48:28Z,3.85,running
2026-08-14T22:49:29Z,3.85,running
2026-08-14T22:50:30Z,3.85,running
2026-08-14T22:51:32Z,3.85,running
2026-08-14T22:52:34Z,3.85,running
2026-08-14T22:53:35Z,3.85,running
2026-08-14T22:54:36Z,3.85,running
2026-08-14T22:55:37Z,3.85,running
2026-08-14T22:56:38Z,3.85,running
2026-08-14T22:57:39Z,3.85,running
2026-08-14T22:58:40Z,3.85,running
2026-08-14T22:59:42Z,3.85,running
2026-08-14T23:00:44Z,96.97,running
2026-08-14T23:01:45Z,96.85,running
2026-08-14T23:02:46Z,96.85,running
2026-08-14T23:03:47Z,96.85,running
2026-08-14T23:04:48Z,96.85,running
2026-08-14T23:05:49Z,97.28,running
2026-08-14T23:06:51Z,97.78,running
2026-08-14T23:07:52Z,97.87,running
2026-08-14T23:08:54Z,97.74,running
2026-08-14T23:09:55Z,97.74,running
2026-08-14T23:10:56Z,93.75,running
2026-08-14T23:11:57Z,93.88,running
2026-08-14T23:12:58Z,93.90,running
2026-08-14T23:13:59Z,94.70,running
2026-08-14T23:15:01Z,94.70,running
2026-08-14T23:16:02Z,94.70,running
2026-08-14T23:17:04Z,94.70,running
2026-08-14T23:18:05Z,94.70,running
2026-08-14T23:19:06Z,94.70,running
2026-08-14T23:20:07Z,94.71,running
2026-08-14T23:21:08Z,94.70,running
2026-08-14T23:22:09Z,94.70,running
2026-08-14T23:23:11Z,94.70,running
2026-08-14T23:24:13Z,94.70,running
2026-08-14T23:25:14Z,94.70,running
2026-08-14T23:26:15Z,94.70,running
2026-08-14T23:27:16Z,94.70,running
2026-08-14T23:28:17Z,94.70,running
2026-08-14T23:29:18Z,45.35,running
2026-08-14T23:30:19Z,45.35,running
2026-08-14T23:31:21Z,45.35,running
2026-08-14T23:32:23Z,45.35,running
