ts,container_id,memory_current_bytes,memory_stat_anon,memory_stat_file,memory_stat_inactive_file,memory_stat_pgscan,memory_stat_pgsteal,memory_stat_workingset_refault_anon,memory_events_max,memory_events_oom,memory_events_oom_kill,vmrss_kib,vmhwm_kib
2026-08-26T05:11:30Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1689071616,1559920640,21848064,9281536,398846,208006,59654,1645,0,0,1858760,2842976
2026-08-26T05:11:50Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1689042944,1559924736,21848064,9281536,398846,208006,59654,1645,0,0,1858760,2842976
2026-08-26T05:16:52Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1688870912,1560408064,21848064,9281536,398846,208006,59715,1645,0,0,1859236,2842976
2026-08-26T05:21:53Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1689419776,1560502272,21848064,9281536,398846,208006,59733,1645,0,0,1859328,2842976
2026-08-26T05:26:55Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1724829696,1560543232,45572096,32837632,398846,208006,59740,1645,0,0,1859364,2842976
2026-08-26T05:31:56Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1724960768,1560547328,45572096,32837632,398846,208006,59740,1645,0,0,1859372,2842976
2026-08-26T05:36:57Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1725378560,1560551424,45854720,32919552,398846,208006,59740,1645,0,0,1859372,2842976
2026-08-26T05:41:59Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1725091840,1560559616,45854720,32919552,398846,208006,59740,1645,0,0,1859376,2842976
2026-08-26T05:47:00Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1724960768,1560563712,45854720,32919552,398846,208006,59740,1645,0,0,1859380,2842976
2026-08-26T05:52:01Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1725034496,1560567808,45887488,32919552,398846,208006,59740,1645,0,0,1859384,2842976
2026-08-26T05:57:03Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1725681664,1560576000,46088192,32952320,398846,208006,59740,1645,0,0,1859388,2842976
2026-08-26T06:02:04Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1725493248,1560580096,46088192,32952320,398846,208006,59740,1645,0,0,1859396,2842976
2026-08-26T06:07:05Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1725292544,1560592384,46088192,32952320,398846,208006,59740,1645,0,0,1859400,2842976
2026-08-26T06:12:07Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1725530112,1560596480,46088192,32952320,398846,208006,59740,1645,0,0,1859408,2842976
2026-08-26T06:17:08Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1725304832,1560604672,46088192,32952320,398846,208006,59740,1645,0,0,1859412,2842976
2026-08-26T06:22:09Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1725042688,1560604672,46088192,32952320,398846,208006,59740,1645,0,0,1859420,2842976
2026-08-26T06:27:11Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1725370368,1560608768,46088192,32952320,398846,208006,59740,1645,0,0,1859424,2842976
2026-08-26T06:32:12Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1725661184,1560707072,46088192,32952320,398846,208006,59756,1645,0,0,1859516,2842976
2026-08-26T06:37:13Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1726103552,1561079808,46088192,32952320,398846,208006,59800,1645,0,0,1859880,2842976
2026-08-26T06:42:15Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1725804544,1561415680,46088192,32952320,398846,208006,59809,1645,0,0,1860212,2842976
2026-08-26T06:47:16Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1726697472,1561423872,46088192,32952320,398846,208006,59809,1645,0,0,1860216,2842976
2026-08-26T06:52:17Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1726185472,1561436160,46088192,32952320,398846,208006,59809,1645,0,0,1860224,2842976
2026-08-26T06:57:19Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1726230528,1561432064,46088192,32952320,398846,208006,59809,1645,0,0,1860228,2842976
